x0	Cl	
19.48850 	 0.00000 	 
19.51072 	 0.00000 	 
19.53294 	 0.00000 	 
19.55516 	 0.00000 	 
19.57739 	 0.00000 	 
19.59961 	 0.00000 	 
19.62183 	 0.00000 	 
19.64405 	 0.00000 	 
19.66627 	 0.00000 	 
19.68849 	 0.00000 	 
19.71072 	 0.00000 	 
19.73294 	 0.00000 	 
19.75516 	 0.00000 	 
19.77738 	 0.00000 	 
19.79960 	 0.00000 	 
19.82183 	 0.00000 	 
19.84405 	 0.00000 	 
19.86627 	 0.00000 	 
19.88849 	 0.00000 	 
19.91071 	 0.00000 	 
19.93293 	 0.00000 	 
19.95516 	 0.00000 	 
19.97738 	 0.00000 	 
19.99960 	 0.00000 	 
20.02182 	 0.00000 	 
20.04404 	 0.00000 	 
20.06626 	 0.00000 	 
20.08849 	 0.00000 	 
20.11071 	 0.00000 	 
20.13293 	 0.00000 	 
20.15515 	 0.00000 	 
20.17737 	 0.00000 	 
20.19960 	 0.00000 	 
20.22182 	 0.00000 	 
20.24404 	 0.00000 	 
20.26626 	 0.00000 	 
20.28848 	 0.00000 	 
20.31070 	 0.00000 	 
20.33293 	 0.00000 	 
20.35515 	 0.00000 	 
20.37737 	 0.00000 	 
20.39959 	 0.00000 	 
20.42181 	 0.00000 	 
20.44403 	 0.00000 	 
20.46626 	 0.00000 	 
20.48848 	 0.00000 	 
20.51070 	 0.00000 	 
20.53292 	 0.00000 	 
20.55514 	 0.00000 	 
20.57737 	 0.00000 	 
20.59959 	 0.00000 	 
20.62181 	 0.00000 	 
20.64403 	 0.00000 	 
