x0	i=0	x1	i=1	x2	i=2	
1.821822e-01 	 1.820133e-01 	1.821822e-01 	 1.821861e-01 	1.821822e-01 	 1.821712e-01 	 
1.831832e-01 	 1.830124e-01 	1.831832e-01 	 1.831871e-01 	1.831832e-01 	 1.831720e-01 	 
1.841842e-01 	 1.840114e-01 	1.841842e-01 	 1.841882e-01 	1.841842e-01 	 1.841729e-01 	 
1.851852e-01 	 1.850105e-01 	1.851852e-01 	 1.851893e-01 	1.851852e-01 	 1.851737e-01 	 
1.861862e-01 	 1.860095e-01 	1.861862e-01 	 1.861904e-01 	1.861862e-01 	 1.861745e-01 	 
1.871872e-01 	 1.870086e-01 	1.871872e-01 	 1.871914e-01 	1.871872e-01 	 1.871754e-01 	 
1.881882e-01 	 1.880075e-01 	1.881882e-01 	 1.881925e-01 	1.881882e-01 	 1.881762e-01 	 
1.891892e-01 	 1.890065e-01 	1.891892e-01 	 1.891936e-01 	1.891892e-01 	 1.891771e-01 	 
1.901902e-01 	 1.900055e-01 	1.901902e-01 	 1.901947e-01 	1.901902e-01 	 1.901779e-01 	 
1.911912e-01 	 1.910044e-01 	1.911912e-01 	 1.911958e-01 	1.911912e-01 	 1.911787e-01 	 
1.921922e-01 	 1.920033e-01 	1.921922e-01 	 1.921968e-01 	1.921922e-01 	 1.921795e-01 	 
1.931932e-01 	 1.930022e-01 	1.931932e-01 	 1.931979e-01 	1.931932e-01 	 1.931804e-01 	 
1.941942e-01 	 1.940010e-01 	1.941942e-01 	 1.941990e-01 	1.941942e-01 	 1.941812e-01 	 
1.951952e-01 	 1.949999e-01 	1.951952e-01 	 1.952001e-01 	1.951952e-01 	 1.951820e-01 	 
1.961962e-01 	 1.959987e-01 	1.961962e-01 	 1.962012e-01 	1.961962e-01 	 1.961828e-01 	 
1.971972e-01 	 1.969975e-01 	1.971972e-01 	 1.972023e-01 	1.971972e-01 	 1.971836e-01 	 
1.981982e-01 	 1.979962e-01 	1.981982e-01 	 1.982033e-01 	1.981982e-01 	 1.981844e-01 	 
1.991992e-01 	 1.989950e-01 	1.991992e-01 	 1.992044e-01 	1.991992e-01 	 1.991852e-01 	 
2.002002e-01 	 1.999937e-01 	2.002002e-01 	 2.002055e-01 	2.002002e-01 	 2.001860e-01 	 
2.012012e-01 	 2.009924e-01 	2.012012e-01 	 2.012066e-01 	2.012012e-01 	 2.011868e-01 	 
2.022022e-01 	 2.019911e-01 	2.022022e-01 	 2.022077e-01 	2.022022e-01 	 2.021876e-01 	 
2.032032e-01 	 2.029898e-01 	2.032032e-01 	 2.032087e-01 	2.032032e-01 	 2.031884e-01 	 
2.042042e-01 	 2.039884e-01 	2.042042e-01 	 2.042098e-01 	2.042042e-01 	 2.041892e-01 	 
2.052052e-01 	 2.049870e-01 	2.052052e-01 	 2.052109e-01 	2.052052e-01 	 2.051899e-01 	 
