x0	T1	x1	T2	x2	T3	
2.365066e-01 	 -9.952951e-04 	2.365066e-01 	 -7.251367e-04 	2.365066e-01 	 -8.667536e-04 	 
2.411674e-01 	 -9.925616e-04 	2.411674e-01 	 -7.571298e-04 	2.411674e-01 	 -8.739700e-04 	 
2.457964e-01 	 -9.956735e-04 	2.457964e-01 	 -7.931112e-04 	2.457964e-01 	 -8.853847e-04 	 
2.503927e-01 	 -1.004127e-03 	2.503927e-01 	 -8.262870e-04 	2.503927e-01 	 -8.987039e-04 	 
2.549559e-01 	 -1.005832e-03 	2.549559e-01 	 -8.470037e-04 	2.549559e-01 	 -9.092556e-04 	 
2.594854e-01 	 -9.958785e-04 	2.594854e-01 	 -8.525235e-04 	2.594854e-01 	 -9.139679e-04 	 
2.639805e-01 	 -9.856155e-04 	2.639805e-01 	 -8.507037e-04 	2.639805e-01 	 -9.129138e-04 	 
2.684407e-01 	 -9.882080e-04 	2.684407e-01 	 -8.506988e-04 	2.684407e-01 	 -9.079305e-04 	 
2.728654e-01 	 -1.004399e-03 	2.728654e-01 	 -8.559376e-04 	2.728654e-01 	 -9.034669e-04 	 
2.772542e-01 	 -1.026937e-03 	2.772542e-01 	 -8.667478e-04 	2.772542e-01 	 -9.056791e-04 	 
2.816063e-01 	 -1.050815e-03 	2.816063e-01 	 -8.838658e-04 	2.816063e-01 	 -9.174114e-04 	 
2.859213e-01 	 -1.071255e-03 	2.859213e-01 	 -9.062252e-04 	2.859213e-01 	 -9.329650e-04 	 
2.901987e-01 	 -1.081651e-03 	2.901987e-01 	 -9.304393e-04 	2.901987e-01 	 -9.426812e-04 	 
2.944379e-01 	 -1.079008e-03 	2.944379e-01 	 -9.510974e-04 	2.944379e-01 	 -9.429532e-04 	 
2.986384e-01 	 -1.070658e-03 	2.986384e-01 	 -9.622248e-04 	2.986384e-01 	 -9.410987e-04 	 
3.027998e-01 	 -1.068038e-03 	3.027998e-01 	 -9.599035e-04 	3.027998e-01 	 -9.452195e-04 	 
3.069215e-01 	 -1.074466e-03 	3.069215e-01 	 -9.481872e-04 	3.069215e-01 	 -9.499445e-04 	 
3.110031e-01 	 -1.080985e-03 	3.110031e-01 	 -9.377291e-04 	3.110031e-01 	 -9.377421e-04 	 
3.150441e-01 	 -1.081270e-03 	3.150441e-01 	 -9.368717e-04 	3.150441e-01 	 -9.110272e-04 	 
3.190441e-01 	 -1.081837e-03 	3.190441e-01 	 -9.439454e-04 	3.190441e-01 	 -9.057326e-04 	 
3.230026e-01 	 -1.093386e-03 	3.230026e-01 	 -9.522819e-04 	3.230026e-01 	 -9.452993e-04 	 
3.269191e-01 	 -1.115916e-03 	3.269191e-01 	 -9.595246e-04 	3.269191e-01 	 -1.006198e-03 	 
3.307934e-01 	 -1.135238e-03 	3.307934e-01 	 -9.694529e-04 	3.307934e-01 	 -1.055735e-03 	 
3.346248e-01 	 -1.141380e-03 	3.346248e-01 	 -9.883555e-04 	3.346248e-01 	 -1.090406e-03 	 
3.384132e-01 	 -1.143116e-03 	3.384132e-01 	 -1.015721e-03 	3.384132e-01 	 -1.119342e-03 	 
3.421580e-01 	 -1.154260e-03 	3.421580e-01 	 -1.041100e-03 	3.421580e-01 	 -1.144826e-03 	 
3.458590e-01 	 -1.172461e-03 	3.458590e-01 	 -1.053343e-03 	3.458590e-01 	 -1.166009e-03 	 
3.495156e-01 	 -1.186903e-03 	3.495156e-01 	 -1.050312e-03 	3.495156e-01 	 -1.183723e-03 	 
3.531277e-01 	 -1.199975e-03 	3.531277e-01 	 -1.038210e-03 	3.531277e-01 	 -1.199522e-03 	 
3.566949e-01 	 -1.225158e-03 	3.566949e-01 	 -1.026053e-03 	3.566949e-01 	 -1.216136e-03 	 
