x0	G1	x1	G2	x2	G3	x3	G4	
-1.783783e-01 	 -1.744050e-04 	2.103890e-01 	 -4.534778e-04 	-1.965840e-02 	 -1.106442e-03 	-1.965840e-02 	 -1.292223e-03 	 
-1.733804e-01 	 -2.638603e-04 	2.185991e-01 	 -4.839998e-04 	-1.262547e-02 	 -1.008273e-03 	-1.262548e-02 	 -1.349823e-03 	 
-1.683566e-01 	 -3.528130e-04 	2.267250e-01 	 -5.189247e-04 	-5.587691e-03 	 -9.350752e-04 	-5.587694e-03 	 -1.362865e-03 	 
-1.633076e-01 	 -4.303803e-04 	2.347634e-01 	 -5.590827e-04 	1.453274e-03 	 -8.913276e-04 	1.453270e-03 	 -1.319250e-03 	 
-1.582341e-01 	 -4.808152e-04 	2.427116e-01 	 -6.051596e-04 	8.495723e-03 	 -8.578274e-04 	8.495718e-03 	 -1.262165e-03 	 
-1.531367e-01 	 -5.176467e-04 	2.505665e-01 	 -6.590710e-04 	1.553798e-02 	 -8.189401e-04 	1.553797e-02 	 -1.239712e-03 	 
-1.480162e-01 	 -5.705910e-04 	2.583252e-01 	 -7.246570e-04 	2.257833e-02 	 -7.724141e-04 	2.257835e-02 	 -1.264496e-03 	 
-1.428733e-01 	 -6.342162e-04 	2.659851e-01 	 -8.007959e-04 	2.961513e-02 	 -7.259974e-04 	2.961513e-02 	 -1.294441e-03 	 
-1.377085e-01 	 -6.737750e-04 	2.735432e-01 	 -8.781558e-04 	3.664666e-02 	 -7.007382e-04 	3.664665e-02 	 -1.271361e-03 	 
-1.325228e-01 	 -6.885200e-04 	2.809972e-01 	 -9.496600e-04 	4.367122e-02 	 -7.069163e-04 	4.367122e-02 	 -1.188239e-03 	 
-1.273170e-01 	 -7.122869e-04 	2.883443e-01 	 -1.016100e-03 	5.068713e-02 	 -7.258567e-04 	5.068716e-02 	 -1.082338e-03 	 
-1.220914e-01 	 -7.539656e-04 	2.955818e-01 	 -1.081056e-03 	5.769277e-02 	 -7.348630e-04 	5.769276e-02 	 -9.746659e-04 	 
-1.168470e-01 	 -7.966581e-04 	3.027076e-01 	 -1.145791e-03 	6.468635e-02 	 -7.226184e-04 	6.468636e-02 	 -8.665568e-04 	 
-1.115845e-01 	 -8.242811e-04 	3.097193e-01 	 -1.208406e-03 	7.166629e-02 	 -6.888133e-04 	7.166630e-02 	 -7.720597e-04 	 
-1.063047e-01 	 -8.221252e-04 	3.166145e-01 	 -1.266322e-03 	7.863089e-02 	 -6.494344e-04 	7.863087e-02 	 -7.159031e-04 	 
-1.010082e-01 	 -8.105687e-04 	3.233912e-01 	 -1.318912e-03 	8.557846e-02 	 -6.274884e-04 	8.557840e-02 	 -7.069392e-04 	 
-9.569588e-02 	 -8.433894e-04 	3.300473e-01 	 -1.365968e-03 	9.250738e-02 	 -6.336962e-04 	9.250736e-02 	 -7.289546e-04 	 
-9.036844e-02 	 -9.344365e-04 	3.365804e-01 	 -1.408949e-03 	9.941596e-02 	 -6.602167e-04 	9.941597e-02 	 -7.493009e-04 	 
-8.502658e-02 	 -1.050047e-03 	3.429893e-01 	 -1.451434e-03 	1.063026e-01 	 -6.895296e-04 	1.063026e-01 	 -7.481294e-04 	 
-7.967120e-02 	 -1.158695e-03 	3.492714e-01 	 -1.495508e-03 	1.131656e-01 	 -7.061639e-04 	1.131656e-01 	 -7.413300e-04 	 
-7.430292e-02 	 -1.241222e-03 	3.554259e-01 	 -1.540009e-03 	1.200035e-01 	 -7.086409e-04 	1.200035e-01 	 -7.477608e-04 	 
