x0	8A00W11AoA20/	x1	8A15W11AoA20/	
3.699990e+01 	 3.861981e-01 	3.699999e+01 	 3.680924e-01 	 
3.712490e+01 	 3.872930e-01 	3.712484e+01 	 3.686560e-01 	 
3.725000e+01 	 3.887393e-01 	3.724984e+01 	 3.691216e-01 	 
3.737490e+01 	 3.899623e-01 	3.737485e+01 	 3.698311e-01 	 
3.750000e+01 	 3.912836e-01 	3.749999e+01 	 3.704073e-01 	 
3.762500e+01 	 3.927546e-01 	3.762496e+01 	 3.708637e-01 	 
3.774990e+01 	 3.944069e-01 	3.774992e+01 	 3.708172e-01 	 
3.787480e+01 	 3.958031e-01 	3.787492e+01 	 3.707526e-01 	 
3.799990e+01 	 3.968257e-01 	3.799995e+01 	 3.707973e-01 	 
3.812500e+01 	 3.976902e-01 	3.812486e+01 	 3.708354e-01 	 
3.824980e+01 	 3.987758e-01 	3.824996e+01 	 3.707304e-01 	 
3.837480e+01 	 3.998335e-01 	3.837497e+01 	 3.707326e-01 	 
3.849990e+01 	 4.008270e-01 	3.849993e+01 	 3.708884e-01 	 
3.862490e+01 	 4.016373e-01 	3.862492e+01 	 3.713041e-01 	 
3.874980e+01 	 4.019926e-01 	3.874992e+01 	 3.719527e-01 	 
3.887500e+01 	 4.022681e-01 	3.887491e+01 	 3.726326e-01 	 
3.899990e+01 	 4.024046e-01 	3.899991e+01 	 3.733096e-01 	 
3.912490e+01 	 4.020029e-01 	3.912490e+01 	 3.735834e-01 	 
3.924980e+01 	 4.014246e-01 	3.924993e+01 	 3.739876e-01 	 
3.937480e+01 	 4.005575e-01 	3.937490e+01 	 3.740360e-01 	 
3.949990e+01 	 3.992895e-01 	3.949984e+01 	 3.739637e-01 	 
3.962490e+01 	 3.976646e-01 	3.962494e+01 	 3.737947e-01 	 
3.974980e+01 	 3.958974e-01 	3.974988e+01 	 3.734637e-01 	 
3.987490e+01 	 3.939680e-01 	3.987500e+01 	 3.731198e-01 	 
4.000000e+01 	 3.919737e-01 	4.000000e+01 	 3.730988e-01 	 
4.000010e+01 	 3.919708e-01 	4.012490e+01 	 3.731390e-01 	 
4.012510e+01 	 3.901519e-01 	4.024990e+01 	 3.730473e-01 	 
4.025000e+01 	 3.888984e-01 	4.037480e+01 	 3.731293e-01 	 
4.037500e+01 	 3.879876e-01 	4.049990e+01 	 3.730632e-01 	 
4.050000e+01 	 3.867439e-01 	4.062490e+01 	 3.727714e-01 	 
4.062500e+01 	 3.852043e-01 	4.075000e+01 	 3.722915e-01 	 
4.075000e+01 	 3.836024e-01 	4.087500e+01 	 3.722523e-01 	 
4.087500e+01 	 3.821109e-01 	4.100000e+01 	 3.721149e-01 	 
4.100000e+01 	 3.806192e-01 	4.112490e+01 	 3.722505e-01 	 
4.112500e+01 	 3.783972e-01 	4.125000e+01 	 3.721270e-01 	 
4.125000e+01 	 3.757585e-01 	4.137490e+01 	 3.721863e-01 	 
4.137500e+01 	 3.737164e-01 	4.150000e+01 	 3.725655e-01 	 
4.150010e+01 	 3.724144e-01 	4.162490e+01 	 3.727315e-01 	 
4.162510e+01 	 3.715296e-01 	4.174990e+01 	 3.726221e-01 	 
4.175010e+01 	 3.711137e-01 	4.187490e+01 	 3.726003e-01 	 
4.187510e+01 	 3.708315e-01 	4.199990e+01 	 3.727019e-01 	 
4.200010e+01 	 3.710710e-01 	4.212490e+01 	 3.730044e-01 	 
4.212510e+01 	 3.712496e-01 	4.225000e+01 	 3.732327e-01 	 
4.225010e+01 	 3.711952e-01 	4.237490e+01 	 3.735391e-01 	 
4.237500e+01 	 3.726487e-01 	4.250000e+01 	 3.738068e-01 	 
4.250010e+01 	 3.742322e-01 	4.262490e+01 	 3.741301e-01 	 
4.262500e+01 	 3.756785e-01 	4.274990e+01 	 3.746414e-01 	 
4.275010e+01 	 3.775012e-01 	4.287480e+01 	 3.751554e-01 	 
4.287500e+01 	 3.788184e-01 	4.300000e+01 	 3.752220e-01 	 
