x0	LES	x1	Jones2008	
4.899754e+01 	 1.738242e-08 	9.790941e+01 	 4.303720e-09 	 
4.917253e+01 	 2.875813e-08 	9.825784e+01 	 3.830764e-09 	 
4.934752e+01 	 4.158323e-08 	9.860627e+01 	 9.632442e-09 	 
4.952251e+01 	 2.439991e-08 	9.895470e+01 	 9.706274e-09 	 
4.969751e+01 	 1.895835e-08 	9.930314e+01 	 5.991751e-09 	 
4.987250e+01 	 3.422287e-08 	9.965157e+01 	 5.715884e-09 	 
5.004749e+01 	 1.408796e-08 	1.000000e+02 	 4.254261e-09 	 
5.022248e+01 	 1.842150e-08 	1.003484e+02 	 3.381812e-09 	 
5.039747e+01 	 2.027346e-08 	1.006969e+02 	 6.185636e-09 	 
5.057246e+01 	 1.429103e-08 	1.010453e+02 	 8.119959e-09 	 
5.074745e+01 	 1.789620e-08 	1.013937e+02 	 5.253694e-09 	 
5.092244e+01 	 1.548114e-08 	1.017422e+02 	 2.958896e-09 	 
5.109744e+01 	 2.349902e-08 	1.020906e+02 	 3.157748e-09 	 
5.127243e+01 	 1.963994e-08 	1.024390e+02 	 2.144750e-09 	 
5.144742e+01 	 2.081088e-08 	1.027875e+02 	 3.381421e-09 	 
5.162241e+01 	 7.516443e-09 	1.031359e+02 	 4.853521e-09 	 
5.179740e+01 	 2.180580e-08 	1.034843e+02 	 4.903930e-09 	 
5.197239e+01 	 3.625000e-08 	1.038328e+02 	 2.734524e-09 	 
5.214738e+01 	 2.555436e-08 	1.041812e+02 	 1.783992e-09 	 
5.232237e+01 	 1.262479e-08 	1.045296e+02 	 1.922620e-09 	 
5.249737e+01 	 1.314177e-08 	1.048781e+02 	 3.809582e-09 	 
5.267236e+01 	 6.357655e-09 	1.052265e+02 	 5.435303e-09 	 
5.284735e+01 	 2.779316e-08 	1.055749e+02 	 2.890672e-09 	 
5.302234e+01 	 1.746491e-08 	1.059233e+02 	 9.581958e-10 	 
5.319733e+01 	 1.432639e-08 	1.062718e+02 	 1.769471e-09 	 
5.337232e+01 	 7.938496e-09 	1.066202e+02 	 2.453413e-09 	 
5.354731e+01 	 6.521732e-09 	1.069686e+02 	 1.733449e-09 	 
5.372230e+01 	 6.967326e-09 	1.073171e+02 	 2.563690e-09 	 
5.389729e+01 	 5.358731e-09 	1.076655e+02 	 4.965102e-09 	 
5.407229e+01 	 3.278698e-09 	1.080139e+02 	 5.860796e-09 	 
5.424728e+01 	 6.494658e-09 	1.083624e+02 	 2.230866e-09 	 
5.442227e+01 	 4.298890e-09 	1.087108e+02 	 8.984751e-10 	 
5.459726e+01 	 9.446644e-09 	1.090592e+02 	 3.539914e-10 	 
5.477225e+01 	 8.425973e-09 	1.094077e+02 	 4.717062e-10 	 
5.494724e+01 	 7.074613e-09 	1.097561e+02 	 1.492223e-09 	 
5.512223e+01 	 1.231123e-08 	1.101045e+02 	 2.082806e-09 	 
5.529722e+01 	 9.211404e-09 	1.104530e+02 	 2.181493e-09 	 
5.547222e+01 	 1.387748e-08 	1.108014e+02 	 3.173449e-09 	 
5.564721e+01 	 8.127207e-09 	1.111498e+02 	 3.964412e-09 	 
5.582220e+01 	 5.247582e-09 	1.114983e+02 	 3.478566e-09 	 
5.599719e+01 	 4.265351e-09 	1.118467e+02 	 4.776698e-09 	 
5.617218e+01 	 1.091323e-08 	1.121951e+02 	 8.114572e-09 	 
5.634717e+01 	 1.144107e-08 	1.125435e+02 	 4.605491e-09 	 
5.652216e+01 	 1.071005e-08 	1.128920e+02 	 5.463487e-10 	 
5.669715e+01 	 8.838104e-09 	1.132404e+02 	 1.014958e-09 	 
5.687215e+01 	 1.090603e-08 	1.135888e+02 	 1.525473e-09 	 
5.704714e+01 	 2.301917e-09 	1.139373e+02 	 1.721062e-09 	 
5.722213e+01 	 4.994445e-09 	1.142857e+02 	 1.977696e-09 	 
5.739712e+01 	 3.728532e-09 	1.146342e+02 	 2.022594e-09 	 
5.757211e+01 	 8.714837e-09 	1.149826e+02 	 5.466314e-10 	 
5.774710e+01 	 7.501224e-09 	1.153310e+02 	 1.815827e-09 	 
5.792209e+01 	 4.030457e-09 	1.156794e+02 	 3.278084e-09 	 
5.809708e+01 	 4.692442e-09 	1.160279e+02 	 3.540212e-09 	 
5.827208e+01 	 4.566326e-09 	1.163763e+02 	 2.533598e-09 	 
5.844707e+01 	 5.698384e-09 	1.167247e+02 	 1.285734e-09 	 
5.862206e+01 	 6.535830e-09 	1.170732e+02 	 9.558862e-10 	 
5.879705e+01 	 5.300839e-09 	1.174216e+02 	 6.799009e-10 	 
5.897204e+01 	 5.040629e-09 	1.177700e+02 	 1.370932e-09 	 
5.914703e+01 	 6.235060e-09 	1.181185e+02 	 2.511733e-09 	 
5.932202e+01 	 3.589225e-09 	1.184669e+02 	 1.589746e-09 	 
5.949701e+01 	 5.471094e-09 	1.188153e+02 	 3.250546e-10 	 
5.967200e+01 	 2.688574e-09 	1.191638e+02 	 1.286764e-10 	 
5.984700e+01 	 1.186199e-08 	1.195122e+02 	 5.233183e-10 	 
6.002199e+01 	 4.418791e-09 	1.198606e+02 	 2.283762e-09 	 
6.019698e+01 	 5.292533e-09 	1.202091e+02 	 4.518813e-09 	 
6.037197e+01 	 3.043995e-09 	1.205575e+02 	 5.042992e-09 	 
6.054696e+01 	 4.144474e-09 	1.209059e+02 	 2.720711e-09 	 
