x0	cdp	x1	cdv	
2.837490e+01 	 4.338735e-01 	2.837490e+01 	 6.367400e-03 	 
2.849980e+01 	 4.343587e-01 	2.849980e+01 	 6.436500e-03 	 
2.862490e+01 	 4.347113e-01 	2.862490e+01 	 6.517400e-03 	 
2.874990e+01 	 4.330439e-01 	2.874990e+01 	 6.644700e-03 	 
2.887490e+01 	 4.270550e-01 	2.887490e+01 	 6.700500e-03 	 
2.899980e+01 	 4.206680e-01 	2.899980e+01 	 6.664800e-03 	 
2.912480e+01 	 4.152864e-01 	2.912480e+01 	 6.603500e-03 	 
2.924990e+01 	 4.126696e-01 	2.924990e+01 	 6.495900e-03 	 
2.937480e+01 	 4.102922e-01 	2.937480e+01 	 6.393800e-03 	 
2.949980e+01 	 4.077349e-01 	2.949980e+01 	 6.275600e-03 	 
2.962490e+01 	 4.016753e-01 	2.962490e+01 	 6.116200e-03 	 
2.974980e+01 	 3.964834e-01 	2.974980e+01 	 5.940100e-03 	 
2.987500e+01 	 3.920897e-01 	2.987500e+01 	 5.730900e-03 	 
2.999990e+01 	 3.897738e-01 	2.999990e+01 	 5.505400e-03 	 
3.012480e+01 	 3.861096e-01 	3.012480e+01 	 5.416900e-03 	 
3.024990e+01 	 3.800905e-01 	3.024990e+01 	 5.368200e-03 	 
3.037490e+01 	 3.729666e-01 	3.037490e+01 	 5.181800e-03 	 
3.049990e+01 	 3.667740e-01 	3.049990e+01 	 4.934500e-03 	 
3.062480e+01 	 3.618762e-01 	3.062480e+01 	 4.688500e-03 	 
3.074980e+01 	 3.635828e-01 	3.074980e+01 	 4.478600e-03 	 
3.087480e+01 	 3.704458e-01 	3.087480e+01 	 4.306400e-03 	 
3.099980e+01 	 3.766545e-01 	3.099980e+01 	 4.139500e-03 	 
3.112490e+01 	 3.864016e-01 	3.112490e+01 	 4.007900e-03 	 
3.124980e+01 	 3.978265e-01 	3.124980e+01 	 3.822100e-03 	 
3.137490e+01 	 4.065053e-01 	3.137490e+01 	 3.694700e-03 	 
3.149990e+01 	 4.139481e-01 	3.149990e+01 	 3.614500e-03 	 
3.162490e+01 	 4.213282e-01 	3.162490e+01 	 3.652700e-03 	 
3.174990e+01 	 4.246676e-01 	3.174990e+01 	 3.589300e-03 	 
3.187490e+01 	 4.295695e-01 	3.187490e+01 	 3.662200e-03 	 
3.199990e+01 	 4.272990e-01 	3.199990e+01 	 3.781900e-03 	 
3.212490e+01 	 4.257488e-01 	3.212490e+01 	 3.902200e-03 	 
3.224980e+01 	 4.235850e-01 	3.224980e+01 	 3.833600e-03 	 
3.237480e+01 	 4.229397e-01 	3.237480e+01 	 3.924900e-03 	 
3.249980e+01 	 4.203612e-01 	3.249980e+01 	 3.996600e-03 	 
3.262490e+01 	 4.183942e-01 	3.262490e+01 	 4.059100e-03 	 
3.274980e+01 	 4.152834e-01 	3.274980e+01 	 4.148500e-03 	 
3.287480e+01 	 4.077248e-01 	3.287480e+01 	 4.205900e-03 	 
3.299990e+01 	 4.029265e-01 	3.299990e+01 	 4.223700e-03 	 
3.312490e+01 	 3.950379e-01 	3.312490e+01 	 4.253000e-03 	 
3.324990e+01 	 3.891080e-01 	3.324990e+01 	 4.335000e-03 	 
3.337490e+01 	 3.847729e-01 	3.337490e+01 	 4.390300e-03 	 
3.349980e+01 	 3.794527e-01 	3.349980e+01 	 4.427700e-03 	 
3.362480e+01 	 3.784843e-01 	3.362480e+01 	 4.473200e-03 	 
3.374990e+01 	 3.781611e-01 	3.374990e+01 	 4.572700e-03 	 
3.387490e+01 	 3.764649e-01 	3.387490e+01 	 4.625900e-03 	 
3.399980e+01 	 3.718945e-01 	3.399980e+01 	 4.660300e-03 	 
3.412480e+01 	 3.678506e-01 	3.412480e+01 	 4.690800e-03 	 
3.424980e+01 	 3.672213e-01 	3.424980e+01 	 4.681800e-03 	 
3.437490e+01 	 3.670977e-01 	3.437490e+01 	 4.700900e-03 	 
3.449980e+01 	 3.686031e-01 	3.449980e+01 	 4.715900e-03 	 
3.462480e+01 	 3.697936e-01 	3.462480e+01 	 4.747700e-03 	 
3.474980e+01 	 3.707758e-01 	3.474980e+01 	 4.824800e-03 	 
3.487490e+01 	 3.692918e-01 	3.487490e+01 	 4.893800e-03 	 
3.499990e+01 	 3.647020e-01 	3.499990e+01 	 4.931500e-03 	 
3.512480e+01 	 3.614431e-01 	3.512480e+01 	 4.934000e-03 	 
3.524990e+01 	 3.609167e-01 	3.524990e+01 	 4.881500e-03 	 
3.537490e+01 	 3.622989e-01 	3.537490e+01 	 4.835800e-03 	 
3.549990e+01 	 3.635086e-01 	3.549990e+01 	 4.803400e-03 	 
3.562480e+01 	 3.636255e-01 	3.562480e+01 	 4.773000e-03 	 
3.574980e+01 	 3.602008e-01 	3.574980e+01 	 4.739700e-03 	 
3.587480e+01 	 3.576361e-01 	3.587480e+01 	 4.688800e-03 	 
3.599990e+01 	 3.565472e-01 	3.599990e+01 	 4.627400e-03 	 
3.612490e+01 	 3.557664e-01 	3.612490e+01 	 4.558700e-03 	 
3.624980e+01 	 3.564449e-01 	3.624980e+01 	 4.473200e-03 	 
3.637490e+01 	 3.599809e-01 	3.637490e+01 	 4.387800e-03 	 
3.649980e+01 	 3.644291e-01 	3.649980e+01 	 4.289700e-03 	 
3.662480e+01 	 3.688557e-01 	3.662480e+01 	 4.160300e-03 	 
3.674980e+01 	 3.750451e-01 	3.674980e+01 	 4.041300e-03 	 
3.687490e+01 	 3.826732e-01 	3.687490e+01 	 3.962200e-03 	 
3.699980e+01 	 3.909173e-01 	3.699980e+01 	 3.930600e-03 	 
3.712490e+01 	 3.990270e-01 	3.712490e+01 	 3.944300e-03 	 
3.724980e+01 	 4.079174e-01 	3.724980e+01 	 3.958500e-03 	 
3.737480e+01 	 4.157967e-01 	3.737480e+01 	 4.003100e-03 	 
3.749990e+01 	 4.204514e-01 	3.749990e+01 	 4.073000e-03 	 
3.762490e+01 	 4.230744e-01 	3.762490e+01 	 4.126600e-03 	 
3.774980e+01 	 4.232352e-01 	3.774980e+01 	 4.178300e-03 	 
3.787480e+01 	 4.221225e-01 	3.787480e+01 	 4.269700e-03 	 
3.799980e+01 	 4.217446e-01 	3.799980e+01 	 4.375400e-03 	 
3.812480e+01 	 4.207951e-01 	3.812480e+01 	 4.518400e-03 	 
3.824980e+01 	 4.194222e-01 	3.824980e+01 	 4.721300e-03 	 
3.837480e+01 	 4.205248e-01 	3.837480e+01 	 4.964400e-03 	 
3.849980e+01 	 4.180357e-01 	3.849980e+01 	 5.209900e-03 	 
3.862490e+01 	 4.166014e-01 	3.862490e+01 	 5.481700e-03 	 
3.874980e+01 	 4.173489e-01 	3.874980e+01 	 5.709500e-03 	 
3.887490e+01 	 4.187066e-01 	3.887490e+01 	 5.929200e-03 	 
3.899990e+01 	 4.182018e-01 	3.899990e+01 	 6.134600e-03 	 
3.912480e+01 	 4.143417e-01 	3.912480e+01 	 6.281200e-03 	 
3.924980e+01 	 4.100263e-01 	3.924980e+01 	 6.416800e-03 	 
3.937490e+01 	 4.084236e-01 	3.937490e+01 	 6.579000e-03 	 
3.949980e+01 	 4.040313e-01 	3.949980e+01 	 6.664400e-03 	 
3.962480e+01 	 3.992584e-01 	3.962480e+01 	 6.721800e-03 	 
3.974980e+01 	 3.941102e-01 	3.974980e+01 	 6.805500e-03 	 
3.987480e+01 	 3.845690e-01 	3.987480e+01 	 6.926000e-03 	 
3.999980e+01 	 3.799260e-01 	3.999980e+01 	 7.070400e-03 	 
4.012490e+01 	 3.746255e-01 	4.012490e+01 	 7.041500e-03 	 
4.024980e+01 	 3.721270e-01 	4.024980e+01 	 6.871500e-03 	 
4.037480e+01 	 3.689669e-01 	4.037480e+01 	 6.701800e-03 	 
4.049990e+01 	 3.681149e-01 	4.049990e+01 	 6.551500e-03 	 
4.062490e+01 	 3.631224e-01 	4.062490e+01 	 6.474400e-03 	 
4.074980e+01 	 3.572259e-01 	4.074980e+01 	 6.347000e-03 	 
4.087490e+01 	 3.529573e-01 	4.087490e+01 	 6.159000e-03 	 
4.099990e+01 	 3.498828e-01 	4.099990e+01 	 6.025200e-03 	 
4.112480e+01 	 3.459391e-01 	4.112480e+01 	 5.865700e-03 	 
4.124990e+01 	 3.397048e-01 	4.124990e+01 	 5.702400e-03 	 
4.137490e+01 	 3.310237e-01 	4.137490e+01 	 5.485900e-03 	 
4.149980e+01 	 3.287253e-01 	4.149980e+01 	 5.206900e-03 	 
4.162480e+01 	 3.300481e-01 	4.162480e+01 	 4.953600e-03 	 
4.174980e+01 	 3.367604e-01 	4.174980e+01 	 4.680400e-03 	 
4.187490e+01 	 3.467535e-01 	4.187490e+01 	 4.407100e-03 	 
4.199990e+01 	 3.571043e-01 	4.199990e+01 	 4.199400e-03 	 
4.212480e+01 	 3.634499e-01 	4.212480e+01 	 4.112400e-03 	 
4.224980e+01 	 3.674061e-01 	4.224980e+01 	 4.007800e-03 	 
4.237490e+01 	 3.701293e-01 	4.237490e+01 	 3.914100e-03 	 
4.249990e+01 	 3.750612e-01 	4.249990e+01 	 3.797200e-03 	 
4.262480e+01 	 3.784575e-01 	4.262480e+01 	 3.626700e-03 	 
4.274990e+01 	 3.809733e-01 	4.274990e+01 	 3.497200e-03 	 
4.287490e+01 	 3.875905e-01 	4.287490e+01 	 3.420300e-03 	 
4.299990e+01 	 3.947640e-01 	4.299990e+01 	 3.375000e-03 	 
4.312490e+01 	 4.023884e-01 	4.312490e+01 	 3.332400e-03 	 
4.324980e+01 	 4.089107e-01 	4.324980e+01 	 3.298900e-03 	 
