x0	delta	x1	wle	x2	sle	
8.182759e-02 	 -2.541713e-06 	8.182759e-02 	 3.328061e-04 	8.182759e-02 	 3.353478e-04 	 
8.668647e-02 	 -2.421287e-06 	8.668647e-02 	 3.310582e-04 	8.668647e-02 	 3.334795e-04 	 
9.153521e-02 	 -2.278505e-06 	9.153521e-02 	 3.292989e-04 	9.153521e-02 	 3.315774e-04 	 
9.637316e-02 	 -2.114064e-06 	9.637316e-02 	 3.275204e-04 	9.637316e-02 	 3.296345e-04 	 
1.011997e-01 	 -1.950529e-06 	1.011997e-01 	 3.257249e-04 	1.011997e-01 	 3.276754e-04 	 
1.060141e-01 	 -1.800967e-06 	1.060141e-01 	 3.238995e-04 	1.060141e-01 	 3.257004e-04 	 
1.108158e-01 	 -1.659227e-06 	1.108158e-01 	 3.220207e-04 	1.108158e-01 	 3.236799e-04 	 
1.156041e-01 	 -1.539228e-06 	1.156041e-01 	 3.200965e-04 	1.156041e-01 	 3.216357e-04 	 
1.203784e-01 	 -1.434210e-06 	1.203784e-01 	 3.181313e-04 	1.203784e-01 	 3.195655e-04 	 
1.251380e-01 	 -1.357382e-06 	1.251380e-01 	 3.161014e-04 	1.251380e-01 	 3.174588e-04 	 
1.298824e-01 	 -1.323152e-06 	1.298824e-01 	 3.140082e-04 	1.298824e-01 	 3.153313e-04 	 
1.346109e-01 	 -1.319302e-06 	1.346109e-01 	 3.118580e-04 	1.346109e-01 	 3.131773e-04 	 
1.393228e-01 	 -1.315830e-06 	1.393228e-01 	 3.096452e-04 	1.393228e-01 	 3.109610e-04 	 
1.440175e-01 	 -1.366171e-06 	1.440175e-01 	 3.073445e-04 	1.440175e-01 	 3.087106e-04 	 
1.486945e-01 	 -1.472989e-06 	1.486945e-01 	 3.049611e-04 	1.486945e-01 	 3.064341e-04 	 
1.533530e-01 	 -1.631746e-06 	1.533530e-01 	 3.024936e-04 	1.533530e-01 	 3.041254e-04 	 
1.579925e-01 	 -1.838654e-06 	1.579925e-01 	 2.999427e-04 	1.579925e-01 	 3.017814e-04 	 
1.626123e-01 	 -2.090735e-06 	1.626123e-01 	 2.973430e-04 	1.626123e-01 	 2.994337e-04 	 
1.672119e-01 	 -2.340219e-06 	1.672119e-01 	 2.946967e-04 	1.672119e-01 	 2.970369e-04 	 
1.717907e-01 	 -2.643968e-06 	1.717907e-01 	 2.919794e-04 	1.717907e-01 	 2.946234e-04 	 
1.763480e-01 	 -2.980234e-06 	1.763480e-01 	 2.892067e-04 	1.763480e-01 	 2.921870e-04 	 
1.808832e-01 	 -3.309862e-06 	1.808832e-01 	 2.864136e-04 	1.808832e-01 	 2.897235e-04 	 
1.853958e-01 	 -3.636860e-06 	1.853958e-01 	 2.835979e-04 	1.853958e-01 	 2.872348e-04 	 
1.898851e-01 	 -3.951639e-06 	1.898851e-01 	 2.807502e-04 	1.898851e-01 	 2.847018e-04 	 
1.943507e-01 	 -4.282269e-06 	1.943507e-01 	 2.778815e-04 	1.943507e-01 	 2.821637e-04 	 
1.987918e-01 	 -4.629903e-06 	1.987918e-01 	 2.749754e-04 	1.987918e-01 	 2.796053e-04 	 
