"Result"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"Density"	"StagnationEnergy"	"Pressure"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
nan	nan	nan	nan	nan	nan	nan	0	1.58000e-01	-4.50000e-01	1.58000e-01	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	1.59000e-01	-4.50000e-01	1.59000e-01	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	1.60000e-01	-4.50000e-01	1.60000e-01	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	1.61000e-01	-4.50000e-01	1.61000e-01	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	1.62000e-01	-4.50000e-01	1.62000e-01	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	1.63000e-01	-4.50000e-01	1.63000e-01	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	1.64000e-01	-4.50000e-01	1.64000e-01	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	1.65000e-01	-4.50000e-01	1.65000e-01	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	1.66000e-01	-4.50000e-01	1.66000e-01	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	1.67000e-01	-4.50000e-01	1.67000e-01	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	1.68000e-01	-4.50000e-01	1.68000e-01	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	1.69000e-01	-4.50000e-01	1.69000e-01	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	1.70000e-01	-4.50000e-01	1.70000e-01	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	1.71000e-01	-4.50000e-01	1.71000e-01	-8.25000e-02
nan	nan	nan	nan	nan	nan	nan	0	1.72000e-01	-4.50000e-01	1.72000e-01	-8.25000e-02
