   n        time         Clp         Cdp         Clv         Cdv
 1618880   225.71939   0.6092901   0.0005373   0.0264810   0.0083258
 1618900   225.72203   0.6091865   0.0005374   0.0264665   0.0083251
 1618920   225.72468   0.6090860   0.0005376   0.0264523   0.0083242
 1618940   225.72732   0.6089895   0.0005379   0.0264386   0.0083231
 1618960   225.72997   0.6088972   0.0005381   0.0264256   0.0083218
 1618980   225.73261   0.6088090   0.0005384   0.0264131   0.0083202
 1619000   225.73526   0.6087240   0.0005387   0.0264011   0.0083185
 1619020   225.73790   0.6086422   0.0005390   0.0263895   0.0083165
 1619040   225.74054   0.6085638   0.0005394   0.0263784   0.0083143
 1619060   225.74319   0.6084892   0.0005398   0.0263678   0.0083118
 1619080   225.74583   0.6084178   0.0005402   0.0263576   0.0083092
 1619100   225.74848   0.6083489   0.0005407   0.0263478   0.0083062
 1619120   225.75112   0.6082823   0.0005412   0.0263382   0.0083031
 1619140   225.75377   0.6082184   0.0005418   0.0263290   0.0082998
 1619160   225.75641   0.6081572   0.0005424   0.0263201   0.0082963
 1619180   225.75906   0.6080981   0.0005429   0.0263115   0.0082928
 1619200   225.76170   0.6080406   0.0005435   0.0263031   0.0082891
 1619220   225.76434   0.6079847   0.0005441   0.0262947   0.0082855
 1619240   225.76699   0.6079304   0.0005447   0.0262865   0.0082818
 1619260   225.76963   0.6078777   0.0005452   0.0262784   0.0082782
 1619280   225.77228   0.6078267   0.0005458   0.0262703   0.0082747
 1619300   225.77492   0.6077774   0.0005463   0.0262622   0.0082713
 1619320   225.77757   0.6077297   0.0005469   0.0262541   0.0082680
 1619340   225.78021   0.6076837   0.0005474   0.0262460   0.0082647
 1619360   225.78285   0.6076401   0.0005479   0.0262378   0.0082615
 1619380   225.78550   0.6075997   0.0005485   0.0262298   0.0082583
 1619400   225.78814   0.6075626   0.0005490   0.0262219   0.0082552
 1619420   225.79079   0.6075289   0.0005495   0.0262142   0.0082521
 1619440   225.79343   0.6074986   0.0005499   0.0262066   0.0082492
 1619460   225.79608   0.6074722   0.0005504   0.0261992   0.0082463
 1619480   225.79872   0.6074503   0.0005508   0.0261923   0.0082436
 1619500   225.80137   0.6074328   0.0005512   0.0261859   0.0082411
 1619520   225.80401   0.6074188   0.0005516   0.0261798   0.0082387
 1619540   225.80665   0.6074079   0.0005519   0.0261739   0.0082366
 1619560   225.80930   0.6073997   0.0005521   0.0261683   0.0082345
 1619580   225.81194   0.6073947   0.0005524   0.0261632   0.0082326
 1619600   225.81459   0.6073929   0.0005526   0.0261585   0.0082307
 1619620   225.81723   0.6073941   0.0005529   0.0261544   0.0082288
 1619640   225.81988   0.6073982   0.0005531   0.0261506   0.0082271
 1619660   225.82252   0.6074050   0.0005533   0.0261472   0.0082254
 1619680   225.82517   0.6074144   0.0005535   0.0261442   0.0082239
 1619700   225.82781   0.6074266   0.0005537   0.0261415   0.0082225
 1619720   225.83045   0.6074418   0.0005538   0.0261392   0.0082213
 1619740   225.83310   0.6074598   0.0005539   0.0261373   0.0082203
 1619760   225.83574   0.6074804   0.0005540   0.0261356   0.0082194
 1619780   225.83839   0.6075034   0.0005541   0.0261340   0.0082186
 1619800   225.84103   0.6075285   0.0005541   0.0261327   0.0082180
 1619820   225.84368   0.6075556   0.0005541   0.0261315   0.0082174
 1619840   225.84632   0.6075845   0.0005540   0.0261305   0.0082170
 1619860   225.84896   0.6076149   0.0005539   0.0261296   0.0082167
 1619880   225.85161   0.6076466   0.0005538   0.0261288   0.0082164
 1619900   225.85425   0.6076797   0.0005537   0.0261282   0.0082163
 1619920   225.85690   0.6077141   0.0005536   0.0261278   0.0082163
 1619940   225.85954   0.6077496   0.0005534   0.0261276   0.0082163
 1619960   225.86219   0.6077857   0.0005533   0.0261273   0.0082165
 1619980   225.86483   0.6078221   0.0005531   0.0261271   0.0082168
 1620000   225.86747   0.6078590   0.0005529   0.0261269   0.0082171
 1620020   225.87012   0.6078965   0.0005527   0.0261267   0.0082175
 1620040   225.87276   0.6079347   0.0005525   0.0261265   0.0082178
 1620060   225.87541   0.6079734   0.0005523   0.0261264   0.0082180
 1620080   225.87805   0.6080126   0.0005521   0.0261262   0.0082181
 1620100   225.88069   0.6080519   0.0005520   0.0261260   0.0082180
 1620120   225.88334   0.6080914   0.0005519   0.0261258   0.0082178
 1620140   225.88598   0.6081308   0.0005517   0.0261256   0.0082175
 1620160   225.88862   0.6081701   0.0005517   0.0261254   0.0082172
 1620180   225.89127   0.6082092   0.0005516   0.0261252   0.0082168
 1620200   225.89391   0.6082479   0.0005515   0.0261249   0.0082164
 1620220   225.89656   0.6082860   0.0005514   0.0261246   0.0082161
 1620240   225.89920   0.6083235   0.0005513   0.0261243   0.0082158
 1620260   225.90184   0.6083601   0.0005512   0.0261239   0.0082156
 1620280   225.90449   0.6083956   0.0005511   0.0261234   0.0082155
 1620300   225.90713   0.6084295   0.0005509   0.0261227   0.0082155
 1620320   225.90977   0.6084618   0.0005508   0.0261217   0.0082157
 1620340   225.91242   0.6084919   0.0005506   0.0261205   0.0082158
 1620360   225.91506   0.6085195   0.0005504   0.0261188   0.0082160
 1620380   225.91771   0.6085445   0.0005503   0.0261168   0.0082162
 1620400   225.92035   0.6085666   0.0005502   0.0261143   0.0082164
 1620420   225.92299   0.6085859   0.0005501   0.0261114   0.0082164
 1620440   225.92564   0.6086023   0.0005500   0.0261081   0.0082164
 1620460   225.92828   0.6086160   0.0005499   0.0261044   0.0082164
 1620480   225.93092   0.6086268   0.0005498   0.0261004   0.0082163
 1620500   225.93357   0.6086350   0.0005497   0.0260960   0.0082161
 1620520   225.93621   0.6086404   0.0005496   0.0260912   0.0082159
 1620540   225.93885   0.6086431   0.0005495   0.0260860   0.0082157
 1620560   225.94150   0.6086432   0.0005495   0.0260805   0.0082153
 1620580   225.94414   0.6086408   0.0005494   0.0260746   0.0082150
 1620600   225.94678   0.6086364   0.0005494   0.0260686   0.0082146
 1620620   225.94943   0.6086299   0.0005494   0.0260623   0.0082141
 1620640   225.95207   0.6086217   0.0005494   0.0260558   0.0082137
 1620660   225.95471   0.6086119   0.0005494   0.0260491   0.0082134
 1620680   225.95736   0.6086012   0.0005494   0.0260424   0.0082131
 1620700   225.96000   0.6085898   0.0005494   0.0260357   0.0082128
 1620720   225.96264   0.6085783   0.0005493   0.0260291   0.0082126
 1620740   225.96529   0.6085668   0.0005492   0.0260225   0.0082124
