   n        time         Clp         Cdp     Clv         Cdv
     367   132.86720   0.6149039   0.0006254   0.0264193   0.0079203
     368   132.87510   0.6150228   0.0006237   0.0264321   0.0079298
     369   132.88290   0.6151365   0.0006223   0.0264451   0.0079377
     370   132.89070   0.6152475   0.0006208   0.0264583   0.0079454
     371   132.89850   0.6153448   0.0006192   0.0264692   0.0079532
     372   132.90630   0.6154361   0.0006178   0.0264798   0.0079615
     373   132.91410   0.6155340   0.0006163   0.0264931   0.0079699
     374   132.92200   0.6156138   0.0006147   0.0265030   0.0079783
     375   132.92980   0.6156783   0.0006131   0.0265106   0.0079863
     376   132.93760   0.6157398   0.0006117   0.0265192   0.0079941
     377   132.94540   0.6157784   0.0006102   0.0265241   0.0080020
     378   132.95320   0.6158075   0.0006086   0.0265284   0.0080100
     379   132.96110   0.6158344   0.0006069   0.0265339   0.0080182
     380   132.96890   0.6158434   0.0006053   0.0265366   0.0080260
     381   132.97670   0.6158606   0.0006038   0.0265424   0.0080333
     382   132.98450   0.6158730   0.0006023   0.0265478   0.0080397
     383   132.99220   0.6158765   0.0006011   0.0265513   0.0080452
     384   133.00000   0.6158972   0.0006001   0.0265588   0.0080501
     385   133.00800   0.6159174   0.0005993   0.0265667   0.0080544
     386   133.01570   0.6159240   0.0005985   0.0265715   0.0080581
     387   133.02350   0.6159177   0.0005980   0.0265736   0.0080612
     388   133.03130   0.6158985   0.0005975   0.0265727   0.0080639
     389   133.03910   0.6158649   0.0005970   0.0265686   0.0080664
     390   133.04690   0.6158316   0.0005966   0.0265645   0.0080683
     391   133.05480   0.6157976   0.0005964   0.0265600   0.0080682
     392   133.06260   0.6157584   0.0005965   0.0265536   0.0080652
     393   133.07040   0.6157199   0.0005971   0.0265467   0.0080602
     394   133.07820   0.6156900   0.0005978   0.0265412   0.0080561
     395   133.08600   0.6156710   0.0005974   0.0265374   0.0080578
     396   133.09380   0.6156569   0.0005956   0.0265340   0.0080688
     397   133.10170   0.6156511   0.0005922   0.0265320   0.0080891
     398   133.10950   0.6156441   0.0005882   0.0265298   0.0081137
     399   133.11730   0.6156154   0.0005848   0.0265234   0.0081378
     400   133.12510   0.6155752   0.0005825   0.0265150   0.0081577
     401   133.13290   0.6155486   0.0005811   0.0265096   0.0081713
     402   133.14070   0.6155283   0.0005802   0.0265048   0.0081783
     403   133.14860   0.6154966   0.0005798   0.0264959   0.0081802
     404   133.15640   0.6154774   0.0005802   0.0264887   0.0081786
     405   133.16420   0.6154871   0.0005813   0.0264869   0.0081744
     406   133.17190   0.6155236   0.0005824   0.0264890   0.0081676
     407   133.17970   0.6155815   0.0005837   0.0264935   0.0081589
     408   133.18750   0.6156653   0.0005849   0.0265020   0.0081498
     409   133.19540   0.6157770   0.0005860   0.0265147   0.0081405
     410   133.20320   0.6158983   0.0005873   0.0265290   0.0081307
     411   133.21100   0.6160257   0.0005887   0.0265442   0.0081219
     412   133.21880   0.6161565   0.0005899   0.0265598   0.0081135
     413   133.22660   0.6162824   0.0005910   0.0265743   0.0081042
     414   133.23440   0.6163914   0.0005926   0.0265861   0.0080942
     415   133.24230   0.6164835   0.0005942   0.0265949   0.0080838
     416   133.25010   0.6165587   0.0005952   0.0266011   0.0080761
     417   133.25790   0.6166164   0.0005954   0.0266046   0.0080721
     418   133.26570   0.6166516   0.0005956   0.0266046   0.0080696
     419   133.27350   0.6166594   0.0005963   0.0266002   0.0080657
     420   133.28130   0.6166438   0.0005974   0.0265918   0.0080593
     421   133.28920   0.6166102   0.0005985   0.0265804   0.0080520
     422   133.29700   0.6165654   0.0005994   0.0265674   0.0080458
     423   133.30480   0.6165097   0.0006001   0.0265528   0.0080411
     424   133.31260   0.6164372   0.0006007   0.0265353   0.0080373
     425   133.32040   0.6163469   0.0006014   0.0265143   0.0080336
     426   133.32820   0.6162418   0.0006021   0.0264901   0.0080290
     427   133.33610   0.6161237   0.0006035   0.0264635   0.0080226
     428   133.34390   0.6160040   0.0006052   0.0264368   0.0080148
     429   133.35170   0.6158863   0.0006070   0.0264105   0.0080063
     430   133.35950   0.6157677   0.0006086   0.0263839   0.0079981
     431   133.36730   0.6156524   0.0006103   0.0263580   0.0079906
     432   133.37510   0.6155511   0.0006118   0.0263352   0.0079839
