x0	M1	x1	M2	x2	M3	x3	M4	x4	M5	x5	M6	x6	M7	x7	M8	x8	M9	x9	avg	
-0.40311 	 -0.77144 	-0.40311 	 -0.94418 	-0.40311 	 -1.10958 	-0.40311 	 -1.36961 	-0.40311 	 -1.37663 	-0.40311 	 -1.13186 	-0.40311 	 -0.94498 	-0.40311 	 -0.76187 	-0.40311 	 -0.77144 	-0.40311 	 -1.02018 	 
-0.40038 	 -0.77155 	-0.40038 	 -0.92879 	-0.40038 	 -1.09660 	-0.40038 	 -1.37831 	-0.40038 	 -1.38309 	-0.40038 	 -1.12228 	-0.40038 	 -0.93337 	-0.40038 	 -0.76514 	-0.40038 	 -0.77155 	-0.40038 	 -1.01674 	 
-0.39760 	 -0.77122 	-0.39760 	 -0.91467 	-0.39760 	 -1.08385 	-0.39760 	 -1.38842 	-0.39760 	 -1.39045 	-0.39760 	 -1.11457 	-0.39760 	 -0.92445 	-0.39760 	 -0.76817 	-0.39760 	 -0.77122 	-0.39760 	 -1.01411 	 
-0.39478 	 -0.77046 	-0.39478 	 -0.90119 	-0.39478 	 -1.07246 	-0.39478 	 -1.39873 	-0.39478 	 -1.40006 	-0.39478 	 -1.10577 	-0.39478 	 -0.91708 	-0.39478 	 -0.77054 	-0.39478 	 -0.77046 	-0.39478 	 -1.01186 	 
-0.39191 	 -0.76993 	-0.39191 	 -0.88585 	-0.39191 	 -1.06195 	-0.39191 	 -1.40644 	-0.39191 	 -1.40822 	-0.39191 	 -1.09310 	-0.39191 	 -0.91053 	-0.39191 	 -0.77250 	-0.39191 	 -0.76993 	-0.39191 	 -1.00872 	 
-0.38900 	 -0.77013 	-0.38900 	 -0.86834 	-0.38900 	 -1.05031 	-0.38900 	 -1.41357 	-0.38900 	 -1.41289 	-0.38900 	 -1.07836 	-0.38900 	 -0.90361 	-0.38900 	 -0.77432 	-0.38900 	 -0.77013 	-0.38900 	 -1.00463 	 
-0.38604 	 -0.77073 	-0.38604 	 -0.85425 	-0.38604 	 -1.03640 	-0.38604 	 -1.41909 	-0.38604 	 -1.41662 	-0.38604 	 -1.06578 	-0.38604 	 -0.89729 	-0.38604 	 -0.77613 	-0.38604 	 -0.77073 	-0.38604 	 -1.00078 	 
-0.38303 	 -0.77124 	-0.38303 	 -0.84453 	-0.38303 	 -1.02179 	-0.38303 	 -1.41889 	-0.38303 	 -1.41525 	-0.38303 	 -1.05641 	-0.38303 	 -0.89214 	-0.38303 	 -0.77800 	-0.38303 	 -0.77124 	-0.38303 	 -0.99661 	 
-0.37997 	 -0.77159 	-0.37997 	 -0.83730 	-0.37997 	 -1.00914 	-0.37997 	 -1.41063 	-0.37997 	 -1.40300 	-0.37997 	 -1.04805 	-0.37997 	 -0.88582 	-0.37997 	 -0.77954 	-0.37997 	 -0.77159 	-0.37997 	 -0.99074 	 
-0.37687 	 -0.77199 	-0.37687 	 -0.83489 	-0.37687 	 -1.00047 	-0.37687 	 -1.39204 	-0.37687 	 -1.38531 	-0.37687 	 -1.03880 	-0.37687 	 -0.87850 	-0.37687 	 -0.78055 	-0.37687 	 -0.77199 	-0.37687 	 -0.98384 	 
-0.37372 	 -0.77236 	-0.37372 	 -0.83710 	-0.37372 	 -0.99265 	-0.37372 	 -1.36803 	-0.37372 	 -1.36550 	-0.37372 	 -1.02799 	-0.37372 	 -0.87226 	-0.37372 	 -0.78158 	-0.37372 	 -0.77236 	-0.37372 	 -0.97665 	 
-0.37053 	 -0.77244 	-0.37053 	 -0.83487 	-0.37053 	 -0.97923 	-0.37053 	 -1.34397 	-0.37053 	 -1.33789 	-0.37053 	 -1.01635 	-0.37053 	 -0.86642 	-0.37053 	 -0.78341 	-0.37053 	 -0.77244 	-0.37053 	 -0.96745 	 
-0.36729 	 -0.77221 	-0.36729 	 -0.82565 	-0.36729 	 -0.96193 	-0.36729 	 -1.31315 	-0.36729 	 -1.30415 	-0.36729 	 -1.00322 	-0.36729 	 -0.86146 	-0.36729 	 -0.78609 	-0.36729 	 -0.77221 	-0.36729 	 -0.95556 	 
-0.36401 	 -0.77185 	-0.36401 	 -0.81428 	-0.36401 	 -0.94576 	-0.36401 	 -1.26907 	-0.36401 	 -1.26453 	-0.36401 	 -0.98675 	-0.36401 	 -0.85907 	-0.36401 	 -0.78885 	-0.36401 	 -0.77185 	-0.36401 	 -0.94133 	 
-0.36067 	 -0.77112 	-0.36067 	 -0.80311 	-0.36067 	 -0.92874 	-0.36067 	 -1.21169 	-0.36067 	 -1.21372 	-0.36067 	 -0.96644 	-0.36067 	 -0.85963 	-0.36067 	 -0.79105 	-0.36067 	 -0.77112 	-0.36067 	 -0.92407 	 
