Density	Momentum:0	Momentum:1	Momentum:2	StagnationEnergy	Function0	Function1	Function2	Function3	Function4	Function5	Points:0	Points:1	Points:2
0.95562	0.0236485	-0.0047655	0.0133716	0.68762	0.00485588	0.00182456	0.00194875	-0.000861792	2.86625E-05	-0.000270453	0.1	0.15	0.066
0.955655	0.0231162	-0.00523376	0.0140434	0.687668	0.0049187	0.00184489	0.00185512	-0.00087937	1.41349E-05	-0.000179697	0.1	0.15	0.0682
0.955649	0.0217348	-0.00483959	0.0148216	0.687706	0.00490388	0.00191787	0.00177249	-0.000917625	2.27128E-05	-0.000117255	0.1	0.15	0.0704
0.955602	0.0195138	-0.00383046	0.0156267	0.687724	0.00479729	0.00201765	0.00173084	-0.00100073	4.13318E-05	-8.80784E-05	0.1	0.15	0.0726
0.955559	0.0169532	-0.00263074	0.0164077	0.687715	0.00467661	0.0020925	0.00174269	-0.00108597	2.31262E-05	-8.66648E-05	0.1	0.15	0.0748
0.955549	0.0146611	-0.0016586	0.017095	0.687686	0.00458548	0.00212973	0.00177967	-0.00111822	-2.07292E-05	-8.67349E-05	0.1	0.15	0.077
0.955538	0.0131628	-0.00126749	0.0175347	0.68764	0.00447481	0.00215382	0.00180878	-0.00108535	-3.98179E-05	-6.34195E-05	0.1	0.15	0.0792
0.955495	0.012538	-0.00140612	0.0175184	0.687578	0.00427357	0.00216214	0.00182547	-0.000987219	-2.47888E-05	-1.46714E-05	0.1	0.15	0.0814
0.95545	0.0122887	-0.00157903	0.0169087	0.68752	0.00401615	0.00215783	0.00183548	-0.000850164	-1.1161E-06	4.46692E-05	0.1	0.15	0.0836
0.955421	0.012012	-0.00129321	0.0158429	0.687484	0.00381593	0.00218626	0.00185627	-0.000737005	1.22924E-05	0.000103508	0.1	0.15	0.0858
0.95537	0.011698	-0.000277834	0.0147465	0.68747	0.00369793	0.0022508	0.00188769	-0.000682879	1.79325E-05	0.000144111	0.1	0.15	0.088
0.955288	0.0111527	0.00134713	0.0139449	0.687459	0.00365784	0.00232234	0.00191097	-0.000674592	3.76802E-05	0.000156073	0.1	0.15	0.0902
0.955217	0.0100155	0.0030069	0.013426	0.687437	0.00369906	0.00238829	0.0019351	-0.000673382	0.000096312	0.000152102	0.1	0.15	0.0924
0.955174	0.00833054	0.00436132	0.013111	0.687419	0.00376185	0.00245047	0.00196749	-0.000656128	0.000187766	0.000145175	0.1	0.15	0.0946
0.955154	0.0063715	0.00569859	0.0130537	0.687418	0.00382605	0.00251056	0.00199426	-0.000635661	0.000272913	0.000127646	0.1	0.15	0.0968
0.955164	0.00432608	0.00715901	0.0133337	0.687444	0.00391077	0.00254558	0.00200896	-0.000589989	0.00033141	0.00010247	0.1	0.15	0.099
0.955192	0.00253338	0.00835475	0.0139604	0.687496	0.00400721	0.00257722	0.00200847	-0.000526915	0.000371828	0.000092485	0.1	0.15	0.1012
0.955215	0.00133303	0.00907806	0.0148579	0.687565	0.00410238	0.00259065	0.0019912	-0.000475119	0.000388262	8.53531E-05	0.1	0.15	0.1034
0.955245	0.000494391	0.0096281	0.0159076	0.687638	0.00417107	0.00255528	0.00196648	-0.000424413	0.000372443	4.55474E-05	0.1	0.15	0.1056
0.955278	-0.00039921	0.0102877	0.0170517	0.687685	0.00419317	0.0024593	0.00193254	-0.000374118	0.000338193	-2.97127E-05	0.1	0.15	0.1078
0.955319	-0.00168563	0.011025	0.0181241	0.687739	0.00413942	0.00236609	0.00187563	-0.000329967	0.000315457	-0.000105504	0.1	0.15	0.11
0.955368	-0.0032448	0.0119396	0.0191576	0.687813	0.00404122	0.002306	0.00179788	-0.000311647	0.000306776	-0.000160024	0.1	0.15	0.1122
0.955436	-0.0048846	0.0130763	0.0201845	0.687903	0.00394554	0.0022814	0.00170706	-0.000327341	0.000310559	-0.000188962	0.1	0.15	0.1144
0.955511	-0.00673059	0.0143105	0.021166	0.687993	0.00386072	0.0022719	0.00161608	-0.000363222	0.000322252	-0.000193389	0.1	0.15	0.1166
0.955552	-0.00907031	0.0154943	0.0220276	0.688054	0.00375525	0.00226137	0.00154934	-0.000415374	0.000329588	-0.000172768	0.1	0.15	0.1188
0.955536	-0.0119239	0.0166422	0.0226765	0.688067	0.00359893	0.00219823	0.00151833	-0.000451532	0.000318042	-0.00012983	0.1	0.15	0.121
