x0	M1	x1	P1	x2	M2	x3	T1	x4	M3	x5	P2	x6	M4	x7	T2	x8	M5	
-0.19810 	 -0.88204 	-0.20989 	 -0.87928 	-0.19810 	 -0.85866 	-0.18630 	 -0.85506 	-0.19810 	 -0.87038 	-0.20989 	 -0.88559 	-0.19810 	 -0.87996 	-0.18630 	 -0.87198 	-0.19810 	 -0.88204 	 
-0.19321 	 -0.87735 	-0.20492 	 -0.87404 	-0.19321 	 -0.85509 	-0.18149 	 -0.85287 	-0.19321 	 -0.86491 	-0.20492 	 -0.87937 	-0.19321 	 -0.87606 	-0.18149 	 -0.86945 	-0.19321 	 -0.87735 	 
-0.18830 	 -0.87360 	-0.19993 	 -0.86908 	-0.18830 	 -0.85342 	-0.17665 	 -0.85124 	-0.18830 	 -0.85919 	-0.19993 	 -0.87513 	-0.18830 	 -0.87223 	-0.17665 	 -0.86701 	-0.18830 	 -0.87360 	 
-0.18335 	 -0.87159 	-0.19490 	 -0.86423 	-0.18335 	 -0.85211 	-0.17179 	 -0.85102 	-0.18335 	 -0.85489 	-0.19490 	 -0.87071 	-0.18335 	 -0.86865 	-0.17179 	 -0.86422 	-0.18335 	 -0.87159 	 
-0.17838 	 -0.86977 	-0.18985 	 -0.86202 	-0.17838 	 -0.85148 	-0.16690 	 -0.84891 	-0.17838 	 -0.85157 	-0.18985 	 -0.86511 	-0.17838 	 -0.86516 	-0.16690 	 -0.86115 	-0.17838 	 -0.86977 	 
-0.17339 	 -0.86681 	-0.18477 	 -0.86168 	-0.17339 	 -0.85147 	-0.16198 	 -0.84581 	-0.17339 	 -0.85192 	-0.18477 	 -0.86133 	-0.17339 	 -0.86173 	-0.16198 	 -0.85832 	-0.17339 	 -0.86681 	 
-0.16836 	 -0.86246 	-0.17966 	 -0.86115 	-0.16836 	 -0.85038 	-0.15704 	 -0.84397 	-0.16836 	 -0.85418 	-0.17966 	 -0.85963 	-0.16836 	 -0.85858 	-0.15704 	 -0.85602 	-0.16836 	 -0.86246 	 
-0.16331 	 -0.85812 	-0.17453 	 -0.85908 	-0.16331 	 -0.84771 	-0.15208 	 -0.84344 	-0.16331 	 -0.85367 	-0.17453 	 -0.85740 	-0.16331 	 -0.85577 	-0.15208 	 -0.85407 	-0.16331 	 -0.85812 	 
-0.15824 	 -0.85534 	-0.16937 	 -0.85684 	-0.15824 	 -0.84463 	-0.14709 	 -0.84286 	-0.15824 	 -0.85130 	-0.16937 	 -0.85495 	-0.15824 	 -0.85326 	-0.14709 	 -0.85232 	-0.15824 	 -0.85534 	 
-0.15314 	 -0.85266 	-0.16419 	 -0.85561 	-0.15314 	 -0.84280 	-0.14207 	 -0.84116 	-0.15314 	 -0.84811 	-0.16419 	 -0.85296 	-0.15314 	 -0.85100 	-0.14207 	 -0.85087 	-0.15314 	 -0.85266 	 
